type	Gene
CD8+TN	Lef1
CD8+TN	Ccr7
CD8+TN	Lef1
CD8+TN	Sell
CD8+TN	Tcf7
CD8+TN	Cd27
CD8+TN	Cd28
CD8+TN	S1pr1
CD8T+TCM	Gpr183
CD8T+TCM	Ccr7
CD8T+TCM	Sell
CD8T+TCM	Il7r
CD8T+TCM	Cd27
CD8T+TCM	Cd28
CD8T+TCM	Prf1
CD8T+TCM	Gzma
CD8T+TCM	Ccl5
CD8T+TCM	Gpr183
CD8T+TCM	S1pr1
CD8+TEMRA/TEFF	Cx3cr1
CD8+TEMRA/TEFF	Klrg1
CD8+TEMRA/TEFF	Cx3cr1
CD8+TEMRA/TEFF	Fcgr3a
CD8+TEMRA/TEFF	Fgfbp2
CD8+TEMRA/TEFF	Prf1
CD8+TEMRA/TEFF	Gzmh
CD8+TEMRA/TEFF	Tbx21
CD8+TEMRA/TEFF	Eomes
CD8+TEMRA/TEFF	S1pr1
CD8+TEMRA/TEFF	S1pr5
CD8+TEM	Gzmk
CD8+TEM	Cxcr4
CD8+TEM	Cxcr3
CD8+TEM	Cd44
CD8+TRM	Cd6
CD8+TRM	Xcl1
CD8+TRM	Xcl2
CD8+TRM	Myadm
CD8+TRM	Capg
CD8+TRM	Rora
CD8+TRM	Nr4a1
CD8+TRM	Nr4a2
CD8+TRM	Nr4a3
CD8+TRM	Cd69
CD8+TRM	Itgae
CD8+IEL	Cd160
CD8+IEL	Kir2dl4
CD8+IEL	Tmigd2
CD8+IEL	Klrc1
CD8+IEL	Klrc2
CD8+IEL	Klrc3
CD8+IEL	Nr4a1
CD8+IEL	Nr4a2
CD8+IEL	Nr4a3
CD8+IEL	Ikzf2
CD8+IEL	Entpd1
CD8+IEL	Cd69
CD8+IEL	Itgae
CD8+TEX	Layn
CD8+TEX	Havcr2
CD8+TEX	Cxcl13
CD8+TEX	Pdcd1
CD8+TEX	Layn
CD8+TEX	Tox
CD8+TEX	Ifng
CD8+TEX	Gzmb
CD8+TEX	Mir155hg
CD8+TEX	Tnfrsf9
CD8+TEX	Itgae
MAIT	Slc4a10
MAIT	Klrb1
MAIT	Zbtb16
MAIT	Ncr3
MAIT	Rorc
MAIT	Rora
